_id,Date,Domain,Location,Value,Transaction_count
660f02197c037f5b686b65ac,2021-12-31T18:30:00.000Z,RESTRAUNT,Bhuj,365554,1932
660f02197c037f5b686b65ad,2021-12-31T18:30:00.000Z,INVESTMENTS,Ludhiana,847444,1721
660f02197c037f5b686b65ae,2021-12-31T18:30:00.000Z,RETAIL,Goa,786941,1573
660f02197c037f5b686b65af,2021-12-31T18:30:00.000Z,INTERNATIONAL,Mathura,368610,2049
660f02197c037f5b686b65b0,2021-12-31T18:30:00.000Z,RESTRAUNT,Madurai,615681,1519
660f02197c037f5b686b65b1,2021-12-31T18:30:00.000Z,INTERNATIONAL,Daman,1191092,1813
660f02197c037f5b686b65b2,2021-12-31T18:30:00.000Z,INTERNATIONAL,Buxar,968883,2098
660f02197c037f5b686b65b3,2021-12-31T18:30:00.000Z,PUBLIC,Trichy,1030297,606
660f02197c037f5b686b65b4,2021-12-31T18:30:00.000Z,RESTRAUNT,Kullu,688655,1463
660f02197c037f5b686b65b5,2021-12-31T18:30:00.000Z,MEDICAL,Hyderabad,1174302,1463
660f02197c037f5b686b65b6,2021-12-31T18:30:00.000Z,PUBLIC,Lucknow,912902,1035
660f02197c037f5b686b65b7,2021-12-31T18:30:00.000Z,INVESTMENTS,Bikaner,436534,1093
660f02197c037f5b686b65b8,2021-12-31T18:30:00.000Z,PUBLIC,Amritsar,849803,2013
660f02197c037f5b686b65b9,2021-12-31T18:30:00.000Z,INVESTMENTS,Mathura,1180043,2068
660f02197c037f5b686b65ba,2021-12-31T18:30:00.000Z,RETAIL,Doda,1003497,1654
660f02197c037f5b686b65bb,2021-12-31T18:30:00.000Z,MEDICAL,Jaipur,616724,1686
660f02197c037f5b686b65bc,2021-12-31T18:30:00.000Z,PUBLIC,Kannur,933938,1362
660f02197c037f5b686b65bd,2021-12-31T18:30:00.000Z,RETAIL,Lunglei,521003,2304
660f02197c037f5b686b65be,2021-12-31T18:30:00.000Z,INVESTMENTS,Bombay,849779,1202
660f02197c037f5b686b65bf,2021-12-31T18:30:00.000Z,INVESTMENTS,Kannur,770080,2431
660f02197c037f5b686b65c0,2021-12-31T18:30:00.000Z,MEDICAL,Pune,762330,1492
660f02197c037f5b686b65c1,2021-12-31T18:30:00.000Z,RETAIL,Amritsar,907177,2042
660f02197c037f5b686b65c2,2021-12-31T18:30:00.000Z,INVESTMENTS,Hyderabad,326101,1789
660f02197c037f5b686b65c3,2021-12-31T18:30:00.000Z,RESTRAUNT,Ajmer,778068,1892
660f02197c037f5b686b65c4,2021-12-31T18:30:00.000Z,INVESTMENTS,Ludhiana,741605,541
660f02197c037f5b686b65c5,2021-12-31T18:30:00.000Z,INTERNATIONAL,Mathura,735538,1475
660f02197c037f5b686b65c6,2021-12-31T18:30:00.000Z,INTERNATIONAL,Ludhiana,1129467,501
660f02197c037f5b686b65c7,2021-12-31T18:30:00.000Z,RETAIL,Bhind,555766,2035
660f02197c037f5b686b65c8,2021-12-31T18:30:00.000Z,INTERNATIONAL,Akola,574197,1652
660f02197c037f5b686b65c9,2021-12-31T18:30:00.000Z,RETAIL,Kanpur,327304,480
660f02197c037f5b686b65ca,2021-12-31T18:30:00.000Z,RETAIL,Buxar,565665,1559
660f02197c037f5b686b65cb,2021-12-31T18:30:00.000Z,RESTRAUNT,Ajmer,491234,860
660f02197c037f5b686b65cc,2021-12-31T18:30:00.000Z,RESTRAUNT,Bhopal,1155932,2082
660f02197c037f5b686b65cd,2021-12-31T18:30:00.000Z,INTERNATIONAL,Kanpur,1064632,787
660f02197c037f5b686b65ce,2021-12-31T18:30:00.000Z,RETAIL,Vellore,685980,1883
660f02197c037f5b686b65cf,2021-12-31T18:30:00.000Z,RESTRAUNT,Kullu,627093,1181
660f02197c037f5b686b65d0,2021-12-31T18:30:00.000Z,RESTRAUNT,Lunglei,320601,1448
660f02197c037f5b686b65d1,2021-12-31T18:30:00.000Z,PUBLIC,Daman,765631,1876
660f02197c037f5b686b65d2,2021-12-31T18:30:00.000Z,RESTRAUNT,Kannur,629506,1141
660f02197c037f5b686b65d3,2021-12-31T18:30:00.000Z,INTERNATIONAL,Surat,435491,1691
660f02197c037f5b686b65d4,2021-12-31T18:30:00.000Z,RETAIL,Bhuj,816006,1173
660f02197c037f5b686b65d5,2021-12-31T18:30:00.000Z,MEDICAL,Hyderabad,753346,2427
660f02197c037f5b686b65d6,2021-12-31T18:30:00.000Z,PUBLIC,Ajmer,777949,1405
660f02197c037f5b686b65d7,2021-12-31T18:30:00.000Z,INVESTMENTS,Ranchi,369580,1355
660f02197c037f5b686b65d8,2021-12-31T18:30:00.000Z,RETAIL,Lunglei,515905,1780
660f02197c037f5b686b65d9,2021-12-31T18:30:00.000Z,MEDICAL,Banglore,1138214,430
660f02197c037f5b686b65da,2021-12-31T18:30:00.000Z,EDUCATION,Banglore,379817,2196
660f02197c037f5b686b65db,2021-12-31T18:30:00.000Z,EDUCATION,Amritsar,799260,2430
660f02197c037f5b686b65dc,2021-12-31T18:30:00.000Z,MEDICAL,Tirumala,893467,1704
660f02197c037f5b686b65dd,2021-12-31T18:30:00.000Z,RESTRAUNT,Kanpur,363673,884
660f02197c037f5b686b65de,2021-12-31T18:30:00.000Z,INVESTMENTS,Trichy,1074381,2467
660f02197c037f5b686b65df,2021-12-31T18:30:00.000Z,INVESTMENTS,Bokaro,988853,1536
660f02197c037f5b686b65e0,2021-12-31T18:30:00.000Z,RETAIL,Doda,913283,1296
660f02197c037f5b686b65e1,2021-12-31T18:30:00.000Z,MEDICAL,Daman,841025,2521
660f02197c037f5b686b65e2,2021-12-31T18:30:00.000Z,INVESTMENTS,Ambala,388211,1150
660f02197c037f5b686b65e3,2021-12-31T18:30:00.000Z,EDUCATION,Ara,1190426,2080
660f02197c037f5b686b65e4,2021-12-31T18:30:00.000Z,INTERNATIONAL,Trichy,522106,1753
660f02197c037f5b686b65e5,2021-12-31T18:30:00.000Z,INVESTMENTS,Akola,861076,1447
660f02197c037f5b686b65e6,2021-12-31T18:30:00.000Z,INTERNATIONAL,Konark,316227,1778
660f02197c037f5b686b65e7,2021-12-31T18:30:00.000Z,INVESTMENTS,Betul,1130802,2015
660f02197c037f5b686b65e8,2021-12-31T18:30:00.000Z,RETAIL,Ranchi,399336,1630
660f02197c037f5b686b65e9,2021-12-31T18:30:00.000Z,PUBLIC,Patiala,958103,533
660f02197c037f5b686b65ea,2021-12-31T18:30:00.000Z,INVESTMENTS,Ahmedabad,900899,2235
660f02197c037f5b686b65eb,2021-12-31T18:30:00.000Z,RETAIL,Trichy,621790,705
660f02197c037f5b686b65ec,2021-12-31T18:30:00.000Z,EDUCATION,Pune,651546,2419
660f02197c037f5b686b65ed,2021-12-31T18:30:00.000Z,INVESTMENTS,Bidar,418787,1350
660f02197c037f5b686b65ee,2021-12-31T18:30:00.000Z,MEDICAL,Ranchi,545171,519
660f02197c037f5b686b65ef,2021-12-31T18:30:00.000Z,EDUCATION,Indore,851047,1152
660f02197c037f5b686b65f0,2021-12-31T18:30:00.000Z,RESTRAUNT,Srinagar,299768,1460
660f02197c037f5b686b65f1,2021-12-31T18:30:00.000Z,EDUCATION,Bombay,1058947,1866
660f02197c037f5b686b65f2,2021-12-31T18:30:00.000Z,RESTRAUNT,Lucknow,532836,550
660f02197c037f5b686b65f3,2021-12-31T18:30:00.000Z,RETAIL,Kolkata,546797,1634
660f02197c037f5b686b65f4,2021-12-31T18:30:00.000Z,RESTRAUNT,Kanpur,446286,454
660f02197c037f5b686b65f5,2021-12-31T18:30:00.000Z,RETAIL,Tirumala,835821,1937
660f02197c037f5b686b65f6,2021-12-31T18:30:00.000Z,RETAIL,Srinagar,876479,640
660f02197c037f5b686b65f7,2021-12-31T18:30:00.000Z,RESTRAUNT,Bombay,854720,2115
660f02197c037f5b686b65f8,2021-12-31T18:30:00.000Z,INTERNATIONAL,Durg,552250,2470
660f02197c037f5b686b65f9,2021-12-31T18:30:00.000Z,EDUCATION,Lunglei,1135012,2082
660f02197c037f5b686b65fa,2021-12-31T18:30:00.000Z,EDUCATION,Vellore,514241,2177
660f02197c037f5b686b65fb,2021-12-31T18:30:00.000Z,PUBLIC,Ambala,504341,1687
660f02197c037f5b686b65fc,2021-12-31T18:30:00.000Z,EDUCATION,Hyderabad,926642,757
660f02197c037f5b686b65fd,2021-12-31T18:30:00.000Z,PUBLIC,Goa,1022559,1132
660f02197c037f5b686b65fe,2021-12-31T18:30:00.000Z,PUBLIC,Bidar,584793,686
660f02197c037f5b686b65ff,2021-12-31T18:30:00.000Z,INTERNATIONAL,Madurai,658117,1955
660f02197c037f5b686b6600,2021-12-31T18:30:00.000Z,PUBLIC,Kanpur,903174,2533
660f02197c037f5b686b6601,2021-12-31T18:30:00.000Z,RETAIL,Amritsar,955566,1572
660f02197c037f5b686b6602,2021-12-31T18:30:00.000Z,INTERNATIONAL,Ranchi,1121965,1344
660f02197c037f5b686b6603,2021-12-31T18:30:00.000Z,PUBLIC,Daman,1144547,2072
